id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;i_estratos;i_canastas;ca_canastas;ct_canastas;i_pobreza;ca_pobreza;ct_pobreza;fexp
1720;1;1;2;1;1;2;3;2;2;298431.1284;601682.921097850;2;274110.5176;494685.250828468;133
1721;1;2;1;3;3;1;3;2;2;713111.5917;1594633.471890160;2;654996.6438;1266590.366621332;161
1722;1;3;3;1;2;1;2;3;2;142275.3054;442177.05889321;3;130680.5956;323466.555852332;253
1723;1;3;1;2;1;1;1;4;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;149
1724;1;2;2;2;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1134
1725;1;3;2;2;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;555
1726;1;2;2;3;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;612
1727;1;3;2;3;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;55
1728;1;3;2;3;1;1;3;4;5;697496.0094;1425155.515574735;3;640653.6516;1177189.62973598840;396
1729;1;3;2;4;1;1;3;3;4;267199.9638;559842.803097850;3;245424.5332;464154.160228468;173
1730;1;3;2;3;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;200
1731;1;3;2;3;3;1;1;2;2;407740.2045;1001986.66801998;2;374511.4630;781355.90387186160;371
1732;1;1;2;5;1;1;1;4;5;298431.1284;596280.01254516;3;274110.5176;489471.990444664;469
1733;1;1;2;3;3;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;683
1734;1;1;2;4;1;1;1;6;5;267199.9638;565245.711650540;3;245424.5332;469367.420612272;556
1735;1;2;2;4;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;741
1736;1;1;1;5;3;1;1;2;2;407740.2045;941038.99120236;2;374511.4630;757085.553546996;403
1737;1;1;2;4;1;1;1;6;5;267199.9638;565245.711650540;3;245424.5332;469367.420612272;326
1738;1;1;2;3;2;1;1;5;5;282815.5461;738735.647398010;3;259767.5254;549561.343712272;613
1739;1;3;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;499
1740;1;2;2;4;1;1;2;4;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;616
1741;1;1;2;7;1;1;1;4;5;407740.2045;828169.373034740;3;374511.4630;708540.91463946960;120
1742;1;1;2;1;1;1;2;5;5;124924.6584;317569.223642000;3;114743.9376;268259.171436136;133
1743;1;3;2;3;1;1;1;4;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;641
1744;1;1;2;3;1;1;2;5;5;124924.6584;317569.223642000;3;114743.9376;268259.171436136;838
1745;1;3;2;1;1;1;2;2;2;142275.3054;335410.82508931;2;130680.5956;280007.628052332;211
1746;1;3;1;2;1;1;1;1;1;407740.2045;764863.90365289;1;374511.4630;682606.035344664;120
1747;1;3;1;2;2;1;2;2;2;124924.6584;418932.54889321;2;114743.9376;306504.838852332;548
