id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;estado;categori;t_calocu;t15;t18;t19;t20_1;t21_1;t22_1;t48a_d;t48b_d;t50d_a;t50d_b;t50d_c;t50d_d;t50d_e;t50d_f;t51_d;t23_1_cod;t24_1_cod;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40a;t40b;t40_2;t41_cod_2;t47;t48;t48a;t48b;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;tsd3;tsd6;tsd4;tsd7;tsd7a;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;t40bis_a;t40bis_a2;t40bis_b;t40bis_d;t40bis_f;fexp
10;1;1;1;19;2;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;100000;100000.0;1;3;1;0;0;0;0;0;154
11;1;1;3;19;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;9;650000;162500.0;2;2;2;0;0;0;0;0;333
11;1;2;3;36;1;4;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48.0;2;0;2;4903;4;2;2;1;0;1;34323;0;0;0;0;2;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;9;370000;9;370000;2;0;2;0;2;0;9;370000;9;650000;162500.0;2;2;2;2;0;0;2;0;333
11;1;3;3;36;2;4;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48.0;2;0;2;1009;1;2;2;3;0;1;20333;0;0;0;0;2;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;9;280000;9;280000;2;0;2;0;2;0;9;280000;9;650000;162500.0;2;2;2;1;0;0;2;0;333
11;1;4;3;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;650000;162500.0;1;1;2;0;0;0;0;0;333
12;1;1;2;19;1;1;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50.0;2;0;2;5201;4;2;2;3;0;1;36314;0;0;0;0;1;1;1;1;2;2;2;3;0;0;0;0;0;1;0;2;1;600000;1;600000;2;0;2;0;1;20000;1;620000;1;1070000;535000.0;2;1;1;1;0;0;2;0;1867
12;1;2;2;20;1;6;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40.0;2;0;2;5601;3;2;2;3;0;1;53314;0;0;0;0;2;2;2;2;2;2;2;3;0;0;0;0;0;1;0;2;1;450000;1;450000;2;0;2;0;2;0;1;450000;1;1070000;535000.0;2;2;1;1;0;0;2;0;1867
13;1;1;1;20;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;150000;75000.0;1;3;2;0;0;0;0;0;1084
13;1;2;1;18;2;4;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;50000;1;50000;1;150000;75000.0;1;3;2;0;0;0;0;0;1084
14;1;1;1;20;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;100000;1;100000;1;100000;100000.0;1;3;2;0;0;0;0;0;1224
